00:00.006  color_management | Using OCIO=/Users/mengyingli/Documents/ChatGPT/MyBlenderFilmStudio/color/ocio/cg-config-v4.0.0_aces-v2.0_ocio-v2.5.ocio
00:01.943  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:02.087  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:02.245  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:02.390  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:02.539  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:02.715  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:02.859  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:03.000  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:03.152  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:03.329  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:03.478  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:03.619  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:03.773  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:03.918  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:04.063  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:04.215  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:04.361  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:04.545  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:04.695  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:04.838  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:04.981  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:05.122  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:05.274  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:05.428  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:05.586  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:05.747  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:05.920  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:06.065  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:06.214  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:06.357  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:06.552  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:06.713  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:06.876  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:07.036  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:07.196  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:07.387  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:07.550  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:07.741  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:07.908  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:08.073  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:08.239  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:08.426  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:08.590  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:08.752  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:08.946  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:09.091  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:09.254  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:09.414  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:09.610  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:09.773  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:09.969  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:10.145  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:10.334  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:10.499  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:10.685  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:10.850  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:11.004  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:11.176  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:11.323  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:11.484  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:11.648  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:11.808  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:11.966  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:12.175  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:12.358  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:12.535  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:12.698  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:12.887  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:13.045  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:13.219  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:13.417  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:13.581  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:13.747  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:13.914  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:14.081  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:14.251  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:14.430  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:14.576  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:14.739  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:14.904  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:15.055  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:15.216  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:15.423  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:15.599  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:15.765  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:15.939  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:16.086  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:16.247  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:16.466  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:16.644  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:16.808  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:17.008  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:17.177  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:17.340  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:17.547  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:17.762  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:17.949  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:18.144  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:18.314  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:18.480  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:18.685  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:18.914  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:19.085  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:19.253  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:19.416  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:19.592  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:19.765  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:19.976  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:20.159  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:20.349  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:20.514  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:20.677  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:20.851  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:21.048  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:21.249  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:21.421  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:21.586  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:21.779  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:21.955  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:22.168  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:22.355  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:22.521  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:22.686  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:22.853  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:23.023  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:23.252  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:23.468  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:23.669  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
00:23.840  render           | Saved: '/Users/mengyingli/Documents/ChatGPT/BlenderFilmStudio-PostPB7-workspace/PC.3-2026-08-31-mac-m2max-attempt-01/tmp/pc3-current-frame.exr'
